melon_chart,song,singer,count,start_date,end_date
1,Obsession,EXO,137145,2019-12-02 00:00:00,2019-12-09 00:00:00
1,나의 오랜 연인에게,다비치,370,2019-12-01 00:00:00,2019-12-07 00:00:00
2,십이월 이십오일의 고백,정승환,263,2019-12-01 00:00:00,2019-12-07 00:00:00
3,Blueming,아이유,903,2019-12-01 00:00:00,2019-12-07 00:00:00
